nom_estab,longitud,latitud
COSTCO DE MEXICO SUCURSAL ENSENADA,-116.59794927,31.8178048
COSTCO DE MEXICO SUCURSAL TIJUANA I,-117.02902851,32.53100205
COSTCO DE MEXICO SUCURSAL AGUASCALIENTES,-102.28743423,21.91546943
COSTCO LOS CABOS,-109.88261773000002,22.90287744
COSTCO SALTILLO,-100.97718857,25.47805336
COSTCO DE MEXICO SUCURSAL CD JUAREZ,-106.42431880999999,31.70195296
COSTCO CHIHUAHUA SUC 756,-106.12931621,28.64796786
COSTCO COAPA SUC702,-99.13772422000001,19.28398167
COSTCO LINDAVISTA 5312,-99.13000391,19.480890080000002
COSTCO MIXCOAC SUC707,-99.19041359,19.38687149
COSTCO DE MEXICO SUCURSAL CELAYA,-100.82098158000001,20.54493017
COSTCO DE MEXICO SUCURSAL LEON,-101.63493776000001,21.09692861
COSTCO LEON II SUC 725,-101.70606958,21.15618777
COSTCO DE MEXICO,-99.28663864,19.854001
COSTCO DE MEXICO SUCURSAL PUERTO VALLARTA,-105.22353637999998,20.6397952
COSTCO DE MEXICO SUCURSAL ZAPOPAN,-103.42914338999996,20.67913009
COSTCO DE MEXICO SUCURSAL GUADALAJARA II,-103.45046201,20.57865422
COSTCO DE MEXICO SUCURSAL CD SATELITE,-99.23640045999998,19.50731346
COSTCO METEPEC SUC 709,-99.61650712,19.25858968
COSTCO ATIZAPAN,-99.27139646,19.54740001
COSTCO DE MEXICO SUCURSAL ARBOLEDAS,-99.20571439000001,19.55198722
COSTCO DE MEXICO SUCURSAL MORELIA,-101.21032295,19.67203446
COSTCO DE MEXICO SUCURSAL CUERNAVACA,-99.23059993,18.93337767
COSTCO MONTERREY III SUC 722,-100.25022972,25.57989871
COSTCO DE MEXICO SUCURSAL PUEBLA,-98.23863879000001,19.03254395
COSTCO DE MEXICO SUCURSAL QUERETARO,-100.3938892,20.61470753
COSTCO CANCUN SUC 712,-86.83609698,21.14703167
COSTCO CULIACAN 5309,-107.42542702999998,24.7971428
COSTCO DE MEXICO SUCURSAL SAN LUIS POTOSI,-101.00465810999998,22.13826184
COSTCO SUCURSAL VILLAHERMOSA,-92.93149887,17.96664463
COSTCO MEXICO SUCURSAL MERIDA,-89.62850904999999,21.0376873
COSTCO DE MÉXICO,-99.27237209999998,19.40252763
COSTCO POLANCO,-99.20578651317572,19.44130483208074
COSTCO SANTA FE,-99.27492454691044,19.35385404034389
