Date,delegacion_inicio,value
2014-04-01,ALVARO OBREGON,141
2014-04-01,AZCAPOTZALCO,70
2014-04-01,BENITO JUAREZ,129
2014-04-01,COYOACAN,171
2014-04-01,CUAJIMALPA,30
2014-04-01,CUAUHTEMOC,286
2014-04-01,GUSTAVO A. MADERO,248
2014-04-01,IZTACALCO,116
2014-04-01,IZTAPALAPA,389
2014-04-01,MAGDALENA CONTRERAS,13
2014-04-01,MIGUEL HIDALGO,148
2014-04-01,MILPA ALTA,16
2014-04-01,TLAHUAC,84
2014-04-01,TLALPAN,77
2014-04-01,VENUSTIANO CARRANZA,129
2014-04-01,XOCHIMILCO,60
2014-08-01,ALVARO OBREGON,185
2014-08-01,AZCAPOTZALCO,93
2014-08-01,BENITO JUAREZ,176
2014-08-01,COYOACAN,219
2014-08-01,CUAJIMALPA,35
2014-08-01,CUAUHTEMOC,360
2014-08-01,GUSTAVO A. MADERO,215
2014-08-01,IZTACALCO,108
2014-08-01,IZTAPALAPA,480
2014-08-01,MAGDALENA CONTRERAS,30
2014-08-01,MIGUEL HIDALGO,138
2014-08-01,MILPA ALTA,6
2014-08-01,TLAHUAC,81
2014-08-01,TLALPAN,170
2014-08-01,VENUSTIANO CARRANZA,194
2014-08-01,XOCHIMILCO,72
2014-12-01,ALVARO OBREGON,227
2014-12-01,AZCAPOTZALCO,123
2014-12-01,BENITO JUAREZ,156
2014-12-01,COYOACAN,300
2014-12-01,CUAJIMALPA,54
2014-12-01,CUAUHTEMOC,402
2014-12-01,GUSTAVO A. MADERO,331
2014-12-01,IZTACALCO,173
2014-12-01,IZTAPALAPA,475
2014-12-01,MAGDALENA CONTRERAS,62
2014-12-01,MIGUEL HIDALGO,175
2014-12-01,MILPA ALTA,6
2014-12-01,TLAHUAC,70
2014-12-01,TLALPAN,188
2014-12-01,VENUSTIANO CARRANZA,207
2014-12-01,XOCHIMILCO,116
2014-01-01,ALVARO OBREGON,153
2014-01-01,AZCAPOTZALCO,122
2014-01-01,BENITO JUAREZ,190
2014-01-01,COYOACAN,160
2014-01-01,CUAJIMALPA,35
2014-01-01,CUAUHTEMOC,284
2014-01-01,GUSTAVO A. MADERO,280
2014-01-01,IZTACALCO,87
2014-01-01,IZTAPALAPA,435
2014-01-01,MAGDALENA CONTRERAS,34
2014-01-01,MIGUEL HIDALGO,156
2014-01-01,MILPA ALTA,13
2014-01-01,TLAHUAC,32
2014-01-01,TLALPAN,133
2014-01-01,VENUSTIANO CARRANZA,156
2014-01-01,XOCHIMILCO,119
2014-02-01,ALVARO OBREGON,131
2014-02-01,AZCAPOTZALCO,95
2014-02-01,BENITO JUAREZ,117
2014-02-01,COYOACAN,197
2014-02-01,CUAJIMALPA,29
2014-02-01,CUAUHTEMOC,339
2014-02-01,GUSTAVO A. MADERO,211
2014-02-01,IZTACALCO,120
2014-02-01,IZTAPALAPA,380
2014-02-01,MAGDALENA CONTRERAS,43
2014-02-01,MIGUEL HIDALGO,133
2014-02-01,MILPA ALTA,10
2014-02-01,TLAHUAC,63
2014-02-01,TLALPAN,163
2014-02-01,VENUSTIANO CARRANZA,155
2014-02-01,XOCHIMILCO,50
2014-07-01,ALVARO OBREGON,155
2014-07-01,AZCAPOTZALCO,92
2014-07-01,BENITO JUAREZ,175
2014-07-01,COYOACAN,162
2014-07-01,CUAJIMALPA,15
2014-07-01,CUAUHTEMOC,288
2014-07-01,GUSTAVO A. MADERO,298
2014-07-01,IZTACALCO,86
2014-07-01,IZTAPALAPA,434
2014-07-01,MAGDALENA CONTRERAS,29
2014-07-01,MIGUEL HIDALGO,162
2014-07-01,MILPA ALTA,13
2014-07-01,TLAHUAC,57
2014-07-01,TLALPAN,122
2014-07-01,VENUSTIANO CARRANZA,139
2014-07-01,XOCHIMILCO,50
2014-06-01,ALVARO OBREGON,196
2014-06-01,AZCAPOTZALCO,105
2014-06-01,BENITO JUAREZ,161
2014-06-01,COYOACAN,122
2014-06-01,CUAJIMALPA,27
2014-06-01,CUAUHTEMOC,312
2014-06-01,GUSTAVO A. MADERO,288
2014-06-01,IZTACALCO,94
2014-06-01,IZTAPALAPA,380
2014-06-01,MAGDALENA CONTRERAS,48
2014-06-01,MIGUEL HIDALGO,121
2014-06-01,MILPA ALTA,5
2014-06-01,TLAHUAC,55
2014-06-01,TLALPAN,114
2014-06-01,VENUSTIANO CARRANZA,171
2014-06-01,XOCHIMILCO,67
2014-03-01,ALVARO OBREGON,145
2014-03-01,AZCAPOTZALCO,117
2014-03-01,BENITO JUAREZ,198
2014-03-01,COYOACAN,200
2014-03-01,CUAJIMALPA,32
2014-03-01,CUAUHTEMOC,342
2014-03-01,GUSTAVO A. MADERO,244
2014-03-01,IZTACALCO,139
2014-03-01,IZTAPALAPA,434
