"Name","Gross Export","Share","Code","Sector"
"Horses","13034348","0.002664180589306974","0101","Agriculture"
"Bovine","795116608","0.1625193859538814","0102","Agriculture"
"Swine","31028","0.000006342027643041048","0103","Agriculture"
"Other live animals","4349990","0.0008891245593319622","0106","Agriculture"
"Beef","1003130304","0.20503674479631848","0201","Agriculture"
"Beef (frozen)","141741968","0.0289716217363362","0202","Agriculture"
"Pork","428364224","0.08755632815192173","0203","Agriculture"
"Lamb","2247238","0.00045932852637915034","0204","Agriculture"
"Horse meat","6233840","0.0012741776976374565","0205","Agriculture"
"Edible offal","63328484","0.012944147096811997","0206","Agriculture"
"Poultry","254613","0.00005204211306811945","0207","Agriculture"
"Pig and poultry fat","3251661","0.0006646294942567518","0209","Agriculture"
"Preserved meat","45464","0.00000929270158447912","0210","Agriculture"
"Live Fish","395121","0.00008076151554550799","0301","Agriculture"
"Fish, excluding fillets","192039616","0.03925230608582531","0302","Agriculture"
"Frozen fish, excluding fillets","78902792","0.016127487687801922","0303","Agriculture"
"Fish fillets","106808104","0.021831247520587956","0304","Agriculture"
"Preserved fish","8061392","0.001647723698123951","0305","Agriculture"
"Crustaceans","503767424","0.10296851001262021","0306","Agriculture"
"Molluscs","158895008","0.03247765028610379","0307","Agriculture"
"Milk","9759710","0.0019948546670125094","0401","Agriculture"
"Milk, concentrated","189912080","0.03881744427959981","0402","Agriculture"
"Fermented milk products","3374874","0.0006898138519975671","0403","Agriculture"
"Whey","1463697","0.0002991751590510588","0404","Agriculture"
"Butter","45744496","0.009350034103035343","0405","Agriculture"
"Cheese","23946214","0.004894532394423634","0406","Agriculture"
"Eggs, in shell","673051","0.00013756955160424198","0407","Agriculture"
"Egg yolks","528273","0.0001079773742771762","0408","Agriculture"
"Honey","91608320","0.01872445848177614","0409","Agriculture"
"Edible animal products, n.e.c.","14945","0.0000030547119738703254","0410","Agriculture"
"Animal guts, except fish","12703348","0.0025965252086879655","0504","Agriculture"
"Bones, simply prepared","2253110","0.00046052874509514675","0506","Agriculture"
"Whalebone & horns","160330","0.00003277095823155766","0507","Agriculture"
"Coral and shells","2443658","0.0004994761694643032","0508","Agriculture"
"Animal products used in pharmaceuticals","3478707","0.0007110369974229854","0510","Agriculture"
"Animal products n.e.c.","72127736","0.014742687106547856","0511","Agriculture"
"Flower bulbs","54146","0.000011067275646516067","0601","Agriculture"
"Other live plants","21444802","0.004383251485224376","0602","Agriculture"
"Cut flowers","31477744","0.006433953931564053","0603","Agriculture"
"Other parts of plants","23895900","0.004884248367775705","0604","Agriculture"
"Potatoes","442468","0.00009043909653091035","0701","Agriculture"
"Tomatoes","2243151616","0.4584932820743908","0702","Agriculture"
