ID_RAMO,DESC_RAMO,total
28,Participaciones a Entidades Federativas y Municipios,951454.81
19,Aportaciones a Seguridad Social,863611.77
50,Instituto Mexicano del Seguro Social,825062.88
33,Aportaciones Federales para Entidades Federativas y Municipios,759760.28
52,Petróleos Mexicanos,637158.51
24,Deuda Pública,538349.27
53,Comisión Federal de Electricidad,488398.06
51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,349442.41
11,Educación Pública,326282.72
20,Bienestar,181457.07
23,Provisiones Salariales y Económicas,131476.96
12,Salud,128826.41
7,Defensa Nacional,94028.69
3,Poder Judicial,67305.12
36,Seguridad y Protección Ciudadana,60150.7
25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",57357.55
9,Comunicaciones y Transportes,54374.03
18,Energía,48507.33
8,Agricultura y Desarrollo Rural,47576.94
34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,43330
13,Marina,33557.79
16,Medio Ambiente y Recursos Naturales,29869.45
14,Trabajo y Previsión Social,28860.75
38,Consejo Nacional de Ciencia y Tecnología,25658.8
6,Hacienda y Crédito Público,23656.81
30,Adeudos de Ejercicios Fiscales Anteriores,21500.16
49,Fiscalía General de la República,16702.19
22,Instituto Nacional Electoral,16660.8
40,Información Nacional Estadística y Geográfica,16572.9
1,Poder Legislativo,13540.18
48,Cultura,13517.48
47,Entidades no Sectorizadas,11382.22
15,"Desarrollo Agrario, Territorial y Urbano",10939.26
5,Relaciones Exteriores,8723.64
10,Economía,6255.6
4,Gobernación,5891.93
21,Turismo,5034.49
32,Tribunal Federal de Justicia Administrativa,2792.23
35,Comisión Nacional de los Derechos Humanos,1874.21
43,Instituto Federal de Telecomunicaciones,1541.24
27,Función Pública,1461.4
2,Oficina de la Presidencia de la República,918.58
44,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",877.44
31,Tribunales Agrarios,850.65
41,Comisión Federal de Competencia Económica,581.23
45,Comisión Reguladora de Energía,252.88
46,Comisión Nacional de Hidrocarburos,219.76
37,Consejería Jurídica del Ejecutivo Federal,144.78
